Gesture,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64
arrow,29.4296430172507,27.5482607488352,26.1580935078914,24.938228876866,23.9376368936202,23.1833297695883,22.4077949958024,21.5891530987747,20.9570467467815,20.4069038806819,19.8187397168753,19.2395420239642,18.4087168731561,17.416662244639,16.4123085948817,16.0336032693231,15.8613429650883,16.002518985894,16.449687747924,16.6160646748108,16.8154684675072,17.0632848948947,17.4637307360767,17.9750790431592,17.9607662346422,17.9559415812697,17.5746232518447,17.2332248599823,17.3123578961164,18.4510479876406,21.2291755956294,25.9933172069909,27.8798572031646,28.1095490111472,28.9735799040266,29.5793732409043,29.8159959752641,29.675815532858,28.3841121983027,26.0279630258205,22.2648375778971,16.6443445961196,14.1887332665139,13.6187638700218,13.1232186476058,12.7506920204587,12.922103582267,13.1262195955417,13.745691449751,14.0753007831966,14.4048666645004,15.1425003113232,16.0777701803624,15.5538433432064,14.7877181634628,14.1652115897729,13.8442908986605,13.6869029378224,14.0546156155972,14.4006044899229,14.8279588904794,15.5825050966466,16.2849629730379,17.1748598377868
caret,24.5283064684797,23.6824539731191,22.9500695931988,22.7475138268068,22.8118017606811,22.7350101393133,22.4171215839319,20.9836204037121,19.575397483515,18.3559656870924,17.0368409916042,16.5372176300072,16.5783122964372,15.7044162624106,14.5171487934902,13.5467546402447,13.773742686799,14.4125954445539,14.7866033274551,15.2505709217266,16.6074274737514,17.9669374871536,19.6940018117771,20.8546103691321,22.210206122026,23.7575272329147,25.0459061555072,25.2885102637198,25.5333180431054,25.6263092293376,25.9832392303298,25.6244112501035,24.6188878572171,24.2654332053866,23.669654974111,22.6786649024932,22.0005644183761,19.9772671039975,18.1522152280858,16.4331298883594,15.3349757159985,15.0603826755979,15.0906812066591,14.7828976510079,14.3974837118832,14.8383485916022,15.8477733530171,16.8860431592678,17.9971539381041,18.6765467562229,19.1005934512779,19.6908365508777,20.6948405419061,21.8756142141531,22.3495627783511,22.8319147732964,23.6041455920937,24.6203786678621,25.3595749582184,25.6657274155663,25.4737800336883,25.6548073694056,26.1242594606235,25.772098883946
check,29.695700584797,28.1711540376061,27.2057025279135,26.0535949563484,25.3424764802596,24.755019011156,24.4430850509472,23.8319434860762,23.0428947687533,22.3001338948965,21.474282094034,20.821816192433,20.2538114565762,19.6641894561512,19.2812776175941,18.9712917880079,19.1358682433606,18.6511615515564,19.1332085476417,19.9015690989424,20.2248097142355,19.9202236744235,19.1200877466441,18.129397494303,16.8560743789256,15.6210601702036,14.5832714387909,13.6881723769877,12.8989178112422,12.3557837000388,11.818007673286,11.1715782461447,10.815847892123,10.573595909316,10.484755943526,10.5696768183059,10.6263886435346,10.7903606277321,11.0096069603086,11.586930622568,12.2490724726303,12.9948456672532,13.4687889260705,13.6403806055829,13.9917439519533,14.4822750830684,14.7192458436812,15.0615272929383,15.4673291450807,15.8718750846727,16.3070075189424,16.8837014731951,17.5580532964464,18.3416160817131,19.1886852621288,20.1410958389967,20.9790915681069,21.9815165338129,23.0158425014591,23.9755429874882,25.0977642418735,25.9427779359818,26.9382574611604,27.5864081737365
circle,20.7303301502363,20.4715096958318,19.9107090665832,20.6821417423339,21.6051071686991,22.1938555685697,22.9856525619445,23.9668754033301,25.0733733849915,26.2171301327957,27.0352829729749,27.6449759990413,28.3181681002432,28.8621231549898,29.2228659379634,29.7830893215487,29.9810330524745,29.9224445103366,29.8483364288851,29.8178410564104,29.8707229980343,29.6552405209098,28.8094816522869,27.579163048076,26.9885031960476,27.085297633942,27.6567068412028,27.8286922067546,28.2610336152794,29.0283883161943,29.6409744266223,30.1510832757164,30.0175678339246,29.7450867562896,29.9093850323639,30.4686144217733,30.744162446793,30.9615972254541,31.4405138763756,32.0196940590143,32.3581987218425,32.3563975194754,32.2419227082618,31.7596058938584,31.4843369209294,31.1551840056826,29.7997413576619,28.733586926803,27.7132916882772,27.1947760323826,26.6050434668362,26.1334356330849,25.8424507069672,25.3323129592207,24.4898147425684,23.8474052186112,23.4259462990687,22.7917851656819,22.2109569671273,22.0322357627052,21.7197863628295,21.9827931702942,22.1739676704516,22.3023946285122
delete,26.7748919170903,24.0810568506064,22.5264327524623,21.0035070879672,19.5901375722555,18.3583304673617,17.271011401799,16.461548343931,15.7059791157023,14.7688045758771,13.9876322357057,12.8262090114584,12.0872232596792,11.3270369758411,10.6831208407813,10.4656584843333,10.3375600053379,10.5156475800938,11.0296800769693,11.9706017312315,13.0489510757634,14.207903625447,15.1876021596526,16.6932143375717,18.4337240677544,21.126567866948,22.7213361243203,22.8589075299781,22.7913216398992,22.5541345079072,22.3372000702954,22.355530710546,22.4234325078424,22.4455684563738,22.1973645502156,22.0007903900525,21.4639027115232,20.5047860742354,17.6662863945737,16.497627570565,17.2792433477156,17.8344572581605,16.489563335037,15.2324377025865,14.0548303674304,13.051203881269,12.4231018141539,12.2402442600909,12.287297376417,12.3779250418765,12.6313098392733,12.9878915473418,13.3408261894535,13.7010285342371,14.0954219049794,14.7144089402634,15.4317191615814,16.1986271759137,17.1582516368668,18.2620018009585,19.3141457813115,20.8783050477971,22.5631991288866,24.2374985328878
left curly brace,32.2628366081579,32.7771002571644,32.874154112838,32.554815132487,31.961036534849,31.5029646141124,30.7813586233765,30.3315816683329,29.4594994980127,28.6973569509799,28.5017527173064,28.3057557043529,28.045370743307,28.1154409216708,27.8448412962983,27.0455508053891,25.8787374432052,24.3534220862646,23.5874998101991,23.2258284259455,23.128769782541,23.0685221202165,22.9287051373585,22.5449154250417,22.1831228409597,21.5851461593549,20.8984281643873,19.7143556813873,18.1589691685416,16.7835750793247,15.6437179377645,14.7160023206488,14.0754570472763,13.5494708411795,13.3865870774496,14.9091467970445,14.7909953749886,15.8673968254498,17.6529335142342,19.7278268658973,21.7303411929438,22.7917468429893,23.1268178421,23.6385596776313,24.2517680584258,24.619127776442,25.1603005930446,25.6414051522671,26.2742351806522,26.9410731196662,27.5014483163193,27.6535860844321,27.9562478803777,28.4377559512016,29.2278787875596,30.1898475799853,30.941865733415,31.4870185330935,31.8064067345152,32.1894300668864,32.1370882928062,32.4315539852509,33.5428815693492,35.0678523193057
left sq bracket,21.6368172446796,21.4182821992237,21.1760927436562,20.950562785917,20.6890191959828,20.4580025454227,20.2631501535253,19.9942954987171,19.7743243537501,19.4010906309948,19.0204007451125,18.4421566054077,17.6507532881898,16.8562449738199,15.2541712323346,13.4906238507229,12.7798688443416,12.2078429685794,11.6151527965266,10.7344437990204,10.0928321155063,9.53794019422314,8.98485653591262,8.4549066706026,7.98427876437265,7.5291664743941,7.13572544360736,6.56647878792175,6.09061134677923,5.92028408999697,5.87589351703719,5.97023842683097,6.19258513952917,6.53263443213164,6.65763169387455,7.27906284141464,7.89383603939392,8.40004350990753,9.03104864457612,9.71164729724349,10.270104367462,10.8800310048817,11.5205353508202,12.2086364039081,12.7973744801099,13.4176485830074,13.7544539224488,14.6907054454782,15.3359213233771,16.3214001784157,16.8377816923195,17.2062449365986,17.6165975874398,17.9263031110128,18.1579848555794,18.3122353301419,18.5959375547719,18.8270405873916,19.1037282608638,19.3967427576043,19.7751909781649,20.1443556278354,20.6795904190973,21.3453064773515
pigtail,24.2399080981263,22.7241296025067,21.6189377848706,20.7956373374011,19.9765371104348,19.4330092437322,18.958571774111,18.5008412681383,18.0623384217125,17.823423239222,17.8241142016201,17.9506132080578,18.2128195140403,18.4298567704173,18.928429713939,19.0306194604233,18.9945121557235,18.2320035632458,16.9957263894505,15.710506212863,15.595835930398,15.8732208275541,16.7460942746834,17.9717320356706,19.3265191162067,20.7484427936887,21.8438762932237,22.7091471688243,23.3010600553673,23.9169943405027,24.9334478834688,25.6248464408259,25.7531760163236,25.6509089808747,25.3514253969473,25.2318106521547,24.4970293692301,23.8218871780992,22.6385189628174,21.6807004247891,20.4086938251321,19.0246593734684,17.8060823374228,16.3080481899763,14.9412987166637,14.0773808740601,13.7047840796101,14.0703632605296,14.5451372460862,14.930896346436,15.1881987427786,15.750115634722,16.3227157806298,16.9015274536028,17.2484822407862,17.8613239506446,18.5769869284973,19.4881935961444,20.4207531546494,21.5316275221096,22.7014939913551,24.3315657510483,25.9860489210886,27.2988828281771
rectangle,18.1227832899187,17.5067024290221,17.7395019321171,18.2257479787779,19.1178035954662,19.7902163278691,20.6706507930275,21.7948426006153,22.9955472085903,24.2762692484366,25.839002601933,26.2604350581186,26.6261203029812,27.3721336812391,28.117661180541,28.2918038815856,27.7967118118364,27.0180403701658,25.8472442122504,24.9018020010803,24.2313287651589,24.314868028083,24.2826918363513,24.1953879272565,24.8133542718826,26.0455003711916,27.956087721068,29.8766908553175,31.2309549421523,31.4502320631607,31.6857214214869,31.632890855549,30.7655196059382,31.4595372411049,30.8768930968923,31.0749138588931,30.9206496128533,30.9201108394177,31.0852221619335,31.5017764660829,31.7489737952083,32.2982744930234,31.877404746235,30.1503424197923,28.6015274772876,28.056413177774,27.7073831051952,26.7302184180048,25.3811151801926,24.2604015454782,23.7354339879098,24.0437578626432,24.426649834237,24.6668043700113,24.4125890740492,23.7889601526578,23.2042926954336,22.4396354292376,21.4739504098959,20.5130738844108,19.7192466368781,18.9908942037584,18.7799072252814,18.9790510458614
right curly brace,36.0406806626622,36.3688559584716,37.2612301006085,37.703919090372,38.1770707229178,38.6934394767922,39.0262825358525,39.2741213965882,38.7683634795519,37.4517515645806,35.8182233244345,34.1314867892117,32.5553718893193,32.0536981696388,31.5426707017665,30.5834421754792,29.442597596148,27.0572004189277,24.7970104110396,23.1759880791315,22.1676883345228,21.3647698099069,20.0976217244134,19.7584304027608,19.6476526084162,20.0073468876288,20.9901870461954,21.8916288993369,22.075474274321,21.2781945880638,19.9991375789785,18.5412087416956,18.0630454646663,16.6732115879005,15.9751751203127,16.2132846246757,16.2443096240273,17.4512010721024,19.3951732162568,20.6680748223886,21.5734635775186,22.3370555240588,22.3657476781912,22.9790469016664,24.0464297185834,26.0680475252399,28.7358297629598,30.9484122389311,32.3662258721056,34.207888165721,35.4855696446432,36.9725091914545,37.8608913370547,37.7278170509258,37.0672978403478,36.5283646544221,36.166795512978,36.0331220206255,37.2188918625349,37.6710805829069,37.8419212121094,38.9258867594968,40.4617715672467,42.4999513341665
