Gesture,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64
arrow,26.9360344745053,27.2638699065174,26.8175986204973,26.1652904343976,25.748699064282,25.3393096708722,24.8641743751662,24.6186602782197,24.3465841260295,24.2006785919995,24.2012090010996,24.4779613633621,24.5695344842777,24.8311477989527,24.4718905732445,23.4516921886403,23.0420607455921,22.0042219650559,21.0307596328676,20.6287471729812,20.5403014741665,20.975735181369,22.2421291598432,23.4793635442223,24.6074182956136,24.5407098643398,23.5105984656958,21.2622855222083,20.3657747271895,20.7339270613216,23.7363221506702,30.0938692282989,35.4423079390075,35.9222734972386,36.5328486804027,36.5945219052423,36.8134864106743,36.2164405948497,34.7952028224083,31.4669438223124,26.9283757316305,20.8688487032537,17.0514493702678,16.3425478561134,14.8479268794907,14.4265012718016,14.0257389660451,14.6995053787116,15.9467814119558,17.0386943870314,16.9399408943077,17.3525352236027,16.9762276630009,17.0881407697806,16.3445609231649,16.4765120893219,17.1423412602699,17.9324879617879,19.303843064711,20.2401073065877,22.5756775956056,24.8752034565921,28.248882770825,32.0158595283885
caret,21.0093172093937,20.8472712182264,19.6671930185428,18.9500538453567,19.0338438036566,19.2305472231146,19.5376877233618,19.9342775998441,20.3076965011574,20.5293731714551,20.9051412768818,21.0159462604394,21.0024294697763,20.6653985648544,19.9865080821275,18.5527794778158,17.4210851726717,17.1126284076626,17.0634128523141,17.4147788906215,18.2215315296227,19.2551794622962,20.2578106331795,21.3639184952151,22.7235714873347,24.1838458594223,25.4847821149076,26.3279651973232,26.7631063315691,26.8269922344558,26.6380446841707,26.352715421988,26.217683421091,26.380246302154,26.4046087602381,26.6516001178138,26.1780584570812,25.6871242553609,25.3078127230283,24.06551494495,22.6326704862632,21.3373402362558,19.9728884627962,18.5437415867797,17.5002587266081,17.0227769468872,17.1114663201326,17.7498850413676,18.8849373338148,20.4680811698557,21.797481437512,22.346780499734,21.9975596395458,21.5411573187876,21.1494866465336,20.7779223699783,20.7135472545596,20.7437279919737,20.6616892049717,20.3363972975715,20.131561599677,19.9209681397182,19.6299507005312,19.4025774408049
check,20.0290910348727,20.0163269825476,20.5636275667374,20.8833654751051,21.4801241681218,22.0991564541855,22.8154403892027,23.3718861577401,23.7541512157612,23.9287595860808,23.8432207206868,23.8355441019187,23.876079913116,24.2249572555763,24.6967131859986,25.3592534871218,25.7541373609338,26.3390722818526,27.4952111216153,29.280066784161,30.6198741701768,31.6733719987577,31.4821905686029,30.7759442427352,29.647030423265,27.9883664144252,25.9278891585191,23.5804070945299,21.0284234581191,18.6318584330251,16.3284784123923,14.6598394275037,13.600342205007,12.9652098025258,13.2004340648795,13.9294701006417,14.5983834876202,15.7517834325289,17.1608285341801,17.9158511024992,18.6524746568132,18.9956083458697,19.5699201108509,20.2083696852177,21.1382735656762,22.1060462055944,22.9722252756655,23.0719442651724,23.0203332648945,22.8894190075622,22.8384192575264,22.863180284821,22.8418024896846,22.7541513711383,22.7762212641709,22.9928014516029,23.2465074026617,23.4145528217395,24.1091380408006,24.7350553991465,25.7389711963083,26.4465752017075,27.5097763726346,28.7112993080812
circle,23.6998259945892,24.498652273917,24.9418232395611,25.2539876191739,26.1066803333136,26.9719024994625,27.6210733298146,28.2352418712253,28.7204405947944,29.1127887612676,29.4382505260869,29.8570065491245,30.3479864444489,30.7866417713274,31.3587787564067,31.5787070184481,31.9619054012619,32.1154738377045,32.5232267514356,32.5925050607886,32.476018439193,32.5105867570723,32.8672687153336,32.5409079142338,32.0266087773713,31.3161365268402,30.9140527401763,30.6323871686305,30.4160251997718,30.098939475151,29.7163480614143,29.7071424618,29.7781681858375,29.9982918029432,30.0334212590934,30.4137160832473,30.8576647021422,31.3385995670977,31.6694395109131,31.9846669109207,32.2766542755188,32.5045600863783,32.4002970753891,32.2893293010619,32.236006912576,32.083435015951,31.9573929083916,31.814608847742,31.6119418081813,31.3213154232924,31.264831490338,31.1896305056963,30.9141191499382,30.6623535822388,30.3560125607726,30.4420700479173,30.4245266804596,30.2056329540159,29.897026467751,29.5586741478924,29.0777540152261,28.5654383761693,27.8025040634738,26.5546272690745
delete,21.9082137001525,22.3911307507157,22.070112544135,21.5547338856554,21.4171232468316,21.3557898024504,20.9148108986722,20.2298141600025,19.9570672633657,20.5005773924103,19.8590325892619,19.3941564999578,18.1803966693884,17.2675136767302,17.0951690949403,17.8015241152851,19.7465304136823,21.8695188571515,23.6027556407423,24.6222706779889,25.4610172237009,26.1092504939551,26.667645277474,26.3605628962233,29.1568107077713,31.1892806662661,31.222102754849,30.6249244297898,30.7764452178087,31.2697000739458,31.7195851908175,31.5825799258166,30.9472223770706,30.8299512804487,29.8309597064108,28.8935674326215,27.5935664317088,27.3083284434147,26.902113287417,26.9787677375317,26.928969557639,26.5444385209553,25.6087589684211,23.8968396521605,22.8636939648652,21.8228583475745,20.8792106566326,19.632627063666,18.3119815695718,17.6087170797863,18.7206773354981,19.8330291349699,20.5890425010509,21.9441982138612,22.8950751147379,23.8904811208148,24.6217739705645,24.8426126025694,25.7670628345059,26.2165914061976,26.7292530582182,27.5870801070498,29.5611937132726,30.9939926704574
left curly brace,24.4250608896233,26.9234504079674,29.5976198624906,30.5231964407301,31.2476863305081,31.4733826983333,31.3963304870511,30.2416401292565,29.4861309347576,30.2020550108685,31.2122775896542,32.198322375249,32.9899305073471,31.516220478262,30.1351923400096,29.7486671396217,28.5731172304233,28.0519651735909,26.4174560785297,25.5444796868044,23.9898470124815,24.1657069387341,25.5391309114802,25.477914369537,24.7897303050346,24.6603613397103,23.3478351756327,23.9834685945753,23.9907671366431,23.1091900764191,22.0695259375961,19.570140754271,18.3096391760352,20.1502493635988,22.1807616054627,22.5888531883345,21.946126227759,22.5884068091641,22.8260894209395,24.8177993533515,25.5826080792631,25.8391581547532,27.346544445285,29.0017734335611,31.2023003268883,31.0551650775455,30.8170802509937,29.7507964966669,30.1187560690264,29.4637150741773,30.0027822748954,29.4101778215341,28.9567623856393,29.7712897358507,31.00231964316,31.778654045121,30.6334960934248,28.8221004821512,26.9376594586759,24.4830238121928,23.3367425235826,22.9470342709288,24.1922901264448,24.8537176760813
left sq bracket,22.9626624706964,20.8969107397168,19.9808039438944,20.0671449595628,20.1704824047238,20.2211327937118,20.1737041593009,19.8731097442223,19.8026692740008,20.011183793188,19.8530446029315,19.9833203763069,20.3144332322663,19.8472413153917,20.1368934857725,20.422041085095,20.7366949032158,20.7077382639515,20.598020644314,20.3939247045702,19.9384526887323,19.2062906269296,18.3729160994569,17.6069157062333,17.1192050319552,16.29243076374,15.2119836085231,14.0506939728966,13.1961715843528,12.2738937575873,11.403122022015,10.9132551115527,11.3384569516839,12.2193601692062,12.908054841485,13.7657953930473,14.8081352340748,15.9270264607835,16.9535536602515,17.844012762179,18.4510747466082,19.1202236025584,19.582313508789,20.113864214642,20.23388449921,20.0921430261888,19.3860520736654,19.0514233852129,19.8051386897613,21.8120689599264,23.1740260317829,24.4259032290055,24.7957536177422,25.0269441848358,25.1720130157756,24.922110158414,24.904131294866,24.9148959352728,25.1881058219792,25.3758304603943,25.3132171908639,25.4110882918727,25.3722954442286,25.0976993561756
pigtail,17.9597635622278,17.2001158517058,16.9621322930043,17.2181221038855,17.4531126291408,17.5570640579995,17.9847499805154,18.2942605110354,18.6547159943895,18.7794275261865,18.8118171194065,19.1593841389664,18.9147435041607,18.3773365883879,17.7869816661672,17.0326770344697,17.4872715083236,17.321336916379,17.6431966899462,18.3656342904416,19.389932928123,20.656842522826,22.4479316868321,24.7192051962971,26.1784271087765,26.4078039507534,26.4887948523307,26.8006308076691,27.2220028615062,28.1409772257247,28.9412667322678,29.4748939881939,29.6577690253722,29.5833414607492,29.3608829858361,29.3996283181477,28.9515042316451,28.2959412429056,27.2453785380144,25.8913598048498,24.5421437079525,23.2074654280025,21.5296941798607,20.4650055219873,20.006847707362,19.9166363202772,20.3851109868695,20.5869418271136,20.497060550581,20.8479250086164,21.8022235286005,22.9733926498496,23.8436550512873,24.7510124601591,26.1099417378046,26.8745229148915,28.4765239322404,29.3126963355716,30.1181174314549,31.3307259680684,32.639886161107,34.1008354091408,35.9037098012092,36.9736815472027
rectangle,19.644868085697,19.5394939135496,19.381314269224,19.8904530484741,20.9071948362324,22.564721073206,23.289656992681,24.1695620780471,25.9277148040564,27.4583861729887,29.6014730822092,30.8721454687857,31.1222845326578,31.442940850424,33.86379439337,37.0100213685502,37.610307291039,36.9647177300479,36.0715202934108,35.1900739566831,34.5868244129189,33.8689161790794,32.8470589368591,31.9429704937035,30.9889077470136,30.6812051064277,30.6128151395532,30.5836005139306,31.1966150746225,32.4697472984045,34.2099393160985,36.3745095008762,36.5475131120765,37.5590207847052,37.2100829309981,37.0296878452621,36.4474872051681,36.0886758008438,36.4492977576743,36.9051755280338,37.3611777369033,37.5618498014754,37.8100096519467,37.1078910390408,35.9960456836012,34.9998073803197,35.3881187554363,35.0962134968834,33.7955497079344,31.7579923433853,30.0643581194382,28.8299363127158,28.5165530696795,27.1476401046401,25.955246783421,25.5438989539277,24.6665739062747,24.0608071633165,23.1418556968364,21.8111590764357,20.811553740839,20.1185190474681,20.2459562839939,22.0234827502277
right curly brace,25.6643941155995,24.542015704131,25.1291455519604,26.2744695487525,27.2982347788093,28.5833985254427,29.2502189011026,29.5978911964581,30.4116010704582,31.6189860429754,33.1133453672331,34.1228892344882,34.4162377252032,33.9465065027618,33.4963658049731,32.7495480103726,32.5628425986532,32.3821166376417,32.6490158244282,33.3726015080072,33.5841742890849,33.6768794779006,33.3812160427502,31.9294705289584,30.4464807749178,28.8910692150406,27.7070539623635,25.9441346819297,24.6660184929796,23.9020252845175,22.8196971604612,21.3011432048254,21.8851157204412,19.9291616678921,19.6483140013462,20.9165898541258,23.7828234074986,26.2296842022311,29.139752114506,31.9970316317733,34.0507551525732,34.6890329377238,34.3602672052087,33.4818932305302,32.4722553881,31.9972531674194,32.1738959118809,32.1772991684898,32.4035715914003,32.6777818667156,32.4780782063581,32.0399349450386,31.5071002230197,31.437980303274,30.492284547477,30.0214652510651,30.1286881811551,29.4397203671603,28.3881654640118,27.694901683003,27.5900112586195,26.9498649061341,26.083441201575,25.7860589681093
