Gesture,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64
arrow,27.5057282544215,26.2132231055046,25.1328910275927,24.5147891989449,24.2847518481254,24.1820099120918,24.2922021561365,24.3610504779119,24.5099337495592,24.7906650288328,25.1114820971922,25.4275584061659,25.8554943088472,25.6874974304482,24.5824131451906,23.0419165397584,21.6426108894844,20.6117985333866,20.0414678081857,19.9938186621394,20.3262708479003,20.9364996720333,21.5377625469736,22.1659628157879,22.0707749200751,20.7488543234355,19.0546272512277,17.6401694538599,18.0462635191762,19.8731813555095,22.7609816944647,28.1012366271443,33.8249482035556,37.1037912196296,40.2390225348482,42.6144312053204,43.7536515341793,43.7088930144475,42.1785930753083,38.9513687889114,34.1962450695145,28.9143932381609,24.3861850425115,19.4213413789929,16.065976807647,14.3394131868035,13.0790072364158,12.2688555153732,12.634045730435,14.0315771803318,15.4372202905026,17.3022213097755,17.6966417969748,17.4728618035877,18.6609146435152,18.4878180878386,17.2752494930591,16.3908356877484,16.2645961286251,16.7508415783293,17.2271674132381,17.1594755971066,17.1445026372414,17.1990696059382
caret,17.0828295996855,16.5929021557504,16.1456366979179,15.7824015640281,15.4153185114805,14.7862475831097,14.1270992390276,13.709978052084,13.1544731291642,12.8928235935316,12.5878852650657,12.4694421237707,12.1146875220947,11.9573166808906,11.6825371295767,11.4109833381886,11.0648519417888,10.872431809376,10.6514428862887,10.7045400415587,10.8724902132148,11.1036202725749,11.4356615267947,11.8858619439576,12.4283039577801,13.0055048628766,13.7801075445982,14.3484921725621,14.8377337326486,14.9834365769934,14.839212252103,14.2144656294299,13.6779991968616,12.4130365291943,11.878272427107,11.4228257304185,11.1876923772704,10.9595480973123,10.5038472789748,10.0187632738145,9.73895715065209,9.71252224748513,9.68045847021675,9.47032140547835,9.49864592511821,9.61880169089025,9.78203996756557,10.2511813361805,10.5666082942959,10.9732244300811,11.4301843823006,12.1853355823593,12.695594875944,13.4337389776984,13.9038041369681,14.4476225042412,14.7483300541035,15.0589134378831,15.5743358576931,16.11546790504,16.4322254190009,17.0175158844296,17.342361203489,17.8437735231579
check,22.765006170422,22.2294415508166,21.9578962977412,21.1394035748127,20.6043789561081,20.1930335054673,20.2820234374256,20.5420181789266,21.0062691607145,21.493067366264,22.1388966896813,22.365492865232,22.0511169953105,21.5910489407837,21.3361242828253,20.6211816313888,19.7665288340951,18.2148065268403,17.4890580247265,16.8596633715273,16.4135708080911,15.3797469887057,14.6869146279644,14.447747098157,14.0997879344708,13.5299692346266,12.942954433455,12.6374328283789,11.760087833069,10.2560322957144,8.6972962572714,7.40589499385608,6.58736048962478,6.48073704152962,6.91435093466712,7.79206247230609,7.99242904638265,8.56751129165256,9.40427660062656,9.88777891796412,10.3524703109199,10.7810190054065,11.2590249277031,11.982528732015,13.0848719702607,14.292498831888,15.2692698447731,15.262198483062,15.2981285832471,15.7512324006649,16.9216634129257,18.1136641391628,19.4092921683955,20.7379484411683,21.9149154692991,22.6996386240162,23.3334527125537,23.5382012049952,23.8251872568581,24.0912232504972,24.3454428475937,24.761552929343,25.1826788421969,25.8898447009042
circle,24.473014472688,24.1780466743272,24.0470848760143,24.1812701841235,24.7214672645749,25.394541051694,25.9160021445089,26.2361633528934,26.2517552346151,26.4372393339529,26.6704564421723,27.0845912898175,27.6214373049449,28.0825495355773,28.5026769448915,28.8351624240558,28.9552665688678,29.0134417062548,29.0901195689998,29.3034059436781,29.5862946043973,29.9331848028532,30.3849183876363,30.8300243108341,30.8413809177801,30.8152595213602,31.2350122776327,31.5636170494449,31.9175401746144,31.9162230652483,31.9307109749012,32.0641544276695,32.0162000061611,31.9155076436664,31.7546549782241,31.5281868207465,31.2254492611625,31.0198452112976,30.7598464856921,30.6844805470188,30.5124526512834,30.3986793051983,30.2869234273165,30.1797758727976,29.8189043486042,29.5658590371735,29.1009836332742,28.6824426733259,28.1914519768698,27.6960204577778,27.1219152729395,26.4784119956959,26.0383587852438,25.7240030771873,25.5105585063937,25.3941523234862,25.467956028297,25.4006032123407,25.4710125773366,25.6697861792316,26.0340155117312,26.4973915646163,26.8831271705483,27.6994311768865
delete,21.7649330414058,20.5567573931655,19.5780060083364,18.806585590137,18.1881386555499,17.7067923021074,17.2811578806964,16.9568948906306,16.69870616241,16.5201088248241,16.4052231618186,16.4309363155241,16.6462272130902,16.3510417022887,15.9718539270661,15.2814915422504,15.0594946158546,15.4420790462361,16.4280207998893,17.9944503209246,19.8051037038199,21.1045793181424,22.2669386706413,23.1465252430334,25.0133541807997,26.279313052934,26.6529260157834,26.1608255072039,25.8335247542482,25.6876498677836,26.0950286530947,26.6290047392197,26.9343684695327,27.2153877335335,27.7631590187514,28.2499030828357,28.400074428527,28.0203669406123,26.29721743507,24.7016371643102,22.879444293688,21.0734102922522,19.3626661575293,17.7778877403073,16.4117041421634,15.5326499568934,14.9419796779455,14.7605998693925,14.9511816226058,14.349067779762,14.2932134455092,15.0025262192478,16.3583889720057,18.3223731654586,19.8294982871943,20.3681139818262,20.8674487379844,21.358927831198,21.9331440281128,22.7099097042501,23.5402065562966,24.3956987405124,25.4238762974757,26.2328801856904
left curly brace,28.2003725609347,27.6494356818502,27.3271025419912,26.871891125837,26.4461549483371,26.102499955077,25.9148393958362,25.6634056348176,25.409593122852,25.2340170183863,25.0862938909905,24.9284588647296,24.5263232005025,23.8441212600552,22.9614919112073,22.2151453652647,21.3811503908268,20.5843709032102,19.9245588386003,19.33575867487,18.7105137464936,18.3001972619311,18.1397278627782,17.7793673129962,17.5143361066976,16.943058995009,16.4175180731296,15.9329213182504,15.8937930569026,16.1451164437846,16.3812477445446,17.0680622002874,17.3588682064033,16.5145336216904,15.2745801357446,14.5051261245354,14.8109235078008,15.2211240359384,15.6789750127909,16.251504356838,16.7009809027432,16.9706105138284,17.3198373679852,17.7168778241371,18.0083582697895,18.2229778762443,18.5695987311844,18.9292661009369,19.2189302221798,19.4224955518694,19.8999585080584,20.5971516180211,21.6622662315528,22.649392036216,23.6688599196561,24.8824964761306,26.1943457174472,27.0853045115095,28.651195744585,29.399600347874,30.0264957665813,30.5102352211976,30.9555014079154,31.4755934591324
left sq bracket,23.5834485131375,23.4108580558301,23.3217320327757,23.2284095465444,23.2012005002792,22.902487265874,22.419778846671,21.9080739854492,21.5049505857878,21.3554209579786,21.414705880838,21.5792783102511,21.2158277993623,20.4372459476121,19.6522424422051,19.2825273335399,18.9473444511432,18.7645230881922,18.4185741302018,18.1582507145355,17.8249388023821,17.4285780429583,16.9153852930902,16.2527680917171,15.4425539243729,14.6710823282928,13.7123730235271,12.6586713929381,11.5664680229046,10.71326403929,10.1821370580081,10.0301678062458,10.161032252598,10.5625898846245,11.1074390920034,11.8893612090339,12.8685173682487,14.0161248480492,15.279904332093,16.3444811438771,17.4661997113333,18.2039056970912,18.8916948141176,19.311879902796,19.4474890140142,19.7465818433626,20.0316488202766,20.3734534522739,20.6405155190435,21.065418483153,21.4338493774471,21.5081687957006,21.4306343173653,21.4232230235338,21.4474176375111,21.4886169126205,21.7404551710727,22.160142325947,22.5565288957124,22.7059286209238,22.7496649999734,22.8688170726879,23.1131081156117,23.6145343047055
pigtail,24.556433828731,23.4455467288084,22.5268012844017,21.6347505855853,20.7896001898662,19.5853850378631,18.4760342072269,17.0277462686285,15.9285059504707,15.1295113515192,14.3965941482345,13.5297478891381,12.6426974222036,11.9759876327556,11.4281323169487,11.0479184972272,10.8348515904813,10.9055294913625,11.6995176130482,12.7869121667276,13.865893936592,15.2144241231879,16.6419469280721,17.7689712502566,18.8111698968557,20.0255451184041,21.1244260637192,21.9961852996992,22.8003829157011,23.694486085957,24.2726298264965,24.8540786958484,24.6652882165085,23.603922349038,22.3619594476368,21.8240541699038,21.1816726727268,20.5942302986502,20.0585046603758,19.2939240300331,18.324919554026,17.3253680144356,16.0982986600989,15.1294173515629,14.4493928467164,13.8200394336473,13.616008824658,13.7850149326599,14.0819581580674,14.3540945102735,14.7505707749459,14.8352559182712,15.1176523029051,15.3362329623758,16.0930493880535,17.0204915720527,18.1115469977958,19.4787322705341,21.0438088872717,22.6909012619345,24.5098449886646,26.5450920465726,28.6053267788872,30.9967647867662
rectangle,23.1949050893195,23.0422836284786,24.421223934809,26.325702651088,28.0824994636189,29.8045039399102,29.6001700190437,30.0683703822024,30.3148061114283,32.1826316390959,33.4758048517326,34.1527958587758,34.1223569774023,36.3648780773436,37.5943123527581,37.8261224355351,37.7060332839652,37.2395938649435,36.0545695381046,35.7383048606904,36.036631051379,36.9149170009185,36.9047788553103,35.553477597249,34.4549869658607,33.3862539506603,32.3259476538981,32.1308096641296,33.3101694126012,36.1670296801275,39.8237969249384,42.8284254153697,47.3150474409456,49.8043053067551,50.6060800161485,49.8952822080265,49.507474471271,48.7578177783477,48.9886131150933,49.5590945625182,48.9334268312656,47.5854314750193,46.2443430875178,43.4236055555915,40.3060517993951,38.1347386560765,37.2813555393391,37.2428467496972,37.1843448239814,35.7247260087621,33.2632170205073,31.6650937820088,31.2406263588579,31.65484362355,31.1162706040496,29.8562136187337,27.9396583395932,26.3351907510295,24.5756430949239,22.6223264713649,20.7423639745179,19.7020869558903,20.0716193510845,20.7120794708431
right curly brace,33.5739084318784,32.6258719438193,33.3051103895443,34.0565029666644,34.8672304933922,35.6052475440466,35.9960588104613,35.9971858562362,36.4525480420837,37.0257370127831,37.6522358741878,38.3817741196334,39.0275584957795,38.8123321569647,38.3909086586623,37.9253028466458,37.1451775226884,36.1204387641227,34.9894804325687,34.1013005768581,33.1312631492204,31.5180443674232,29.3196088325286,27.1605717199493,25.8999210057377,25.2613776658292,25.0667142452372,25.2137242610941,24.9703905331868,24.6422191854245,24.5879082816909,24.3110767493284,24.6777296782894,23.6835391692587,22.9996104407373,23.2050106700329,24.4374703697249,26.5124742960325,28.514065541226,29.5787781750235,30.1970279455353,30.6324721886602,31.7121706131542,33.1873673192823,34.1257817379406,35.9733796165948,37.9616755598848,39.1665132263093,40.2528584384336,40.7965386754861,40.9257239508658,40.7152711229114,40.136387234411,39.0888128853465,37.8729397271273,37.1479505889289,37.319013621726,37.632369829202,36.4178052800674,35.309118147357,34.1422340714631,33.4815136894247,33.5468388528463,35.4587045976904
